,covid_19,influenza,cold,seasonal_allergies,tuberculosis,copd,asma
fever,often,often,rare,sometimes,often,often,rare
fatigue,sometimes,sometimes,rare,often,often,often,rare
cough,often,often,sometimes,often,often,often,often
sneezing,no,no,often,often,no,no,no
general_pain,sometimes,often,often,no,often,often,no
stuffing_nose,rare,sometimes,often,often,no,no,no
headache,sometimes,often,rare,sometimes,no,no,rare
sore_throat,sometimes,sometimes,often,no,no,no,no
chills,sometimes,often,rare,no,sometimes,sometimes,no
difficulty_breathing,sometimes,rare,rare,often,often,often,often
diarrhoea,rare,sometimes,no,no,no,no,no
loss_of_taste_smell_appetite,often,rare,sometimes,sometimes,often,no,no
running_nose,rare,sometimes,often,often,no,no,no
exhaustion,sometimes,often,no,no,no,no,sometimes
vomit,sometimes,sometimes,no,no,no,no,no
itchy_nose,no,sometimes,often,often,no,no,no
pink_eye,sometimes,rare,sometimes,sometimes,no,no,no
tiredness,often,often,sometimes,rare,usually,no,sometimes
sweat,no,no,no,no,often,no,no
fast_breath,rare,no,no,no,no,sometimes,often
wheezing,no,no,no,no,sometimes,often,often
chest_pressure,often,no,no,no,often,often,no
weight_loss,no,no,no,no,often,often,no
weakness,sometimes,often,sometimes,often,often,often,rare
common_in_seniors,often,sometimes,no,no,no,sometimes,often
common_in_children,rare,sometimes,often,sometimes,sometimes,sometimes,often
common_in_men,sometimes,sometimes,rare,rare,often,sometimes,sometimes
common_in_women,sometimes,sometimes,often,often,sometimes,sometimes,sometimes
